2025-09-23T04:16:10.624Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:16:40.639Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:17:10.653Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:17:40.669Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:18:10.683Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:18:40.699Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:19:10.714Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:19:40.729Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:20:10.743Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:20:40.759Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:21:10.773Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:21:40.788Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:22:08.076Z [WARN] mqtt_offline | agent=mqttAgent
2025-09-23T04:22:08.077Z [DEBUG] heartbeat_stopped | agent=mqttAgent
2025-09-23T04:22:08.077Z [INFO] mqtt_close | agent=mqttAgent
2025-09-23T04:22:09.078Z [INFO] mqtt_reconnect | agent=mqttAgent
2025-09-23T04:22:09.078Z [INFO] heartbeat_started | agent=mqttAgent intervalSeconds=30 topic=presence/agents/mqttAgent
2025-09-23T04:22:09.081Z [INFO] mqtt_close | agent=mqttAgent
2025-09-23T04:22:09.081Z [DEBUG] heartbeat_stopped | agent=mqttAgent
2025-09-23T04:25:28.420Z [DEBUG] presence_manager_created | agent=mqttAgent enabled=true heartbeatSeconds=30 topic=presence/agents/mqttAgent
2025-09-23T04:25:28.504Z [INFO] connected | mqtt_version=5 clientId=agent-mqttAgent-1f6c9f9f0cadb sessionPresent=false
2025-09-23T04:25:28.506Z [INFO] heartbeat_started | agent=mqttAgent intervalSeconds=30 topic=presence/agents/mqttAgent
2025-09-23T04:25:28.511Z [DEBUG] presence_announced | agent=mqttAgent state=online topic=presence/agents/mqttAgent
2025-09-23T04:25:28.551Z [INFO] subscribed | topic=request/commands/mqttAgent/+
2025-09-23T04:25:28.551Z [INFO] agent_ready | agent=mqttAgent mqttVersion=5.0 presenceEnabled=true heartbeatSeconds=30
2025-09-23T04:25:28.551Z [INFO] Agent started successfully
2025-09-23T04:25:33.179Z [INFO] response_sent | command=help method=v5_responseTopic id=mfw1y3g3jepqa4du39p agent=mqttAgent
2025-09-23T04:25:33.179Z [INFO] request_processed | agent=mqttAgent command=help id=mfw1y3g3jepqa4du39p durationMs=3
2025-09-23T04:25:36.319Z [INFO] response_sent | command=help method=v5_responseTopic id=mfw1y5vdb8ppjgp0vlc agent=mqttAgent
2025-09-23T04:25:36.319Z [INFO] request_processed | agent=mqttAgent command=help id=mfw1y5vdb8ppjgp0vlc durationMs=1
2025-09-23T04:25:37.785Z [INFO] response_sent | command=ls method=v5_responseTopic id=mfw1y705ztfcxx1xy2 agent=mqttAgent
2025-09-23T04:25:37.785Z [INFO] request_processed | agent=mqttAgent command=ls id=mfw1y705ztfcxx1xy2 durationMs=2
2025-09-23T04:25:40.710Z [INFO] shutdown_signal_received | signal=SIGINT
2025-09-23T04:25:40.710Z [DEBUG] presence_cleanup_started | agent=mqttAgent
2025-09-23T04:25:40.711Z [DEBUG] heartbeat_stopped | agent=mqttAgent
2025-09-23T04:25:40.711Z [INFO] presence_offline_announced | agent=mqttAgent
2025-09-23T04:25:40.713Z [DEBUG] presence_announced | agent=mqttAgent state=offline topic=presence/agents/mqttAgent
2025-09-23T04:25:40.728Z [INFO] mqtt_close | agent=mqttAgent
2025-09-23T04:25:40.729Z [INFO] mqtt_client_closed
2025-09-23T04:27:30.944Z [DEBUG] presence_manager_created | agent=mqttAgent enabled=true heartbeatSeconds=30 topic=presence/agents/mqttAgent
2025-09-23T04:27:31.064Z [INFO] connected | mqtt_version=5 clientId=agent-mqttAgent-5ec9ee99f8d85 sessionPresent=false
2025-09-23T04:27:31.067Z [INFO] heartbeat_started | agent=mqttAgent intervalSeconds=30 topic=presence/agents/mqttAgent
